category,title,author,newspaper,time,content
8,Killed great-grandfather 'had passion for motorcycles',Unknown,BBC News,25-Aug-16,"The family of a great-grandfather who died after a crash have spoken of his life-long passion for motorbikes.
Eric Winn, 72, died in hospital after his Suzuki motorbike and a Mazda collided on a minor road in Woodland, Bishop Auckland, on Wednesday morning.
The retired factory worker, from Stanley, was flown to James Cook Hospital in Middlesbrough where he was pronounced dead shortly after arrival.
His family said he was a ""devoted motorcyclist of more then 56 years"".
They added: ""Bikes were his sporting interest and offered him the opportunity to explore our region, and beyond.
""He was a loving husband to Connie, who he had supported through her own medical issues over the last three years.""
Durham Police said the driver of the car was shaken but unhurt in the crash."
8,10 best motorcycle roads in the United States,Carla King,CNN News,12-Jun-12,"(Lonely Planet) A great road is a great road, but if you're riding a motorcycle, you're looking for something special: twisties, vistas, turnouts, that perfect stretch of smooth tarmac, and biker-friendly stops that make getting there most of the fun.
Here are Lonely Planet's 10 best roads across America for an unforgettable motorcycle journey:
1. Pacific Coast Highway (Hwy 1): 1700 miles from Astoria, Oregon, to San Juan Capistrano, CaliforniaThis undisputed champion of road trips presents beaches, cliffs, redwood forests, sleepy seaside towns, hot tub B&Bs, and world-class dining along a ribbon of winding, undulating road that (between RVs) can provide thrilling sport riding and contented cruising. Stop at the frequent turnouts, and don't miss wild Olympic Peninsula, rustic Big Sur, Hearst Castle, bikini-clad Malibu, or biker-friendly Seattle, San Francisco, and San Diego.
2. Appalachian Mountains: 770 miles from Front Royal, Virginia, to Deal's Gap, North CarolinaThis four-in-one magic mountain ride begins with Skyline Drive in Virginia, a 105-mile run along the ridge of the Shenandoah National Park, conveniently connected with the Blue Ridge Parkway for 469 miles of smooth roads and sweeping blacktop. Ride east to Tellico Plains along the Cherohala Skyway (Hwy 28) descending into Tennessee backcountry. Loop back via Hwys 360 and 72 to Deal's Gap, and take on the internationally famous 11 mile Tail of the Dragon and whip through those 318 curves for some bragging rights.
3. River Road, (FM 170): 120 miles from Terlingua to Candelaria, Big Bend, Texas
Farm to Market 170 is all smooth heavenly pavement along the Rio Grande through the Big Bend's Chihuahuan Desert ecosystem with its mountains, canyons, badlands, and stunted forests, and even grandma's Buick can handle the 17 mile off-road loop through the Valley of the Gods. But if you've got a dual-sport, you're going to be in heaven. Once it reopens (progressing well at the time of writing), you'll be able to ride on a boat over the Rio Grande at the Boquillas Crossing for a short jaunt for lunch on the Mexican side of the border.
4. Going to the Sun Road: 50 miles in Glacier National Park, MontanaBefore this two-hour, 50-mile ride over Logan Pass was completed, it took visitors several days to get through the park, which speaks of its height and contortions. Watch out for mountain goats and bighorn sheep, and pull over at the Jackson Glacier Overlook to take in the most spectacular scenery in the park.
5. Beartooth Highway, (US 212): 68 Miles in Yellowstone National Park, WyomingSquiggle along for a couple of hours over the highest highway in the Northern Rockies as it twists and turns its way up to 10,947 feet at Beartooth Pass in Wyoming. Stop to take in views of glacier-laden peaks, alpine plateaus dotted with lakes, waterfalls, and lush forests in one of the most rugged areas in the lower 48 states.
6. Highway 12: 124 miles between Bryce Canyon National Park and Capitol Reef National Park, UtahTake a psychedelic sunset ride into fantastical sandstone rock formations, canyons, deep blue lakes, and pine forests and all the curves you might expect. Swish along to the Grand Staircase-Escalante National Monument, Boulder Mountain, and Red Canyon in Dixie National Forest.
7. Coastal Highway 1: 170 miles from Kittery to Bucksport, MaineDetours, not twisties, along Maine's 3478 miles of coastline is the point here. The oldest highway on the east coast is dotted with over 60 lighthouses, countless cute towns, antique shops, lobster shacks, and almost 50 peninsulas to explore. The highway connects with many other scenic routes, including a ferry ride to Nova Scotia.
8. Overseas Highway (Hwy 1), Florida, 100 miles from Key Largo to Key WestPut your sun screen on and cruise out onto a narrow stretch of road made of bridges atop a living reef in the turquoise Straits of Florida sandwiched between the Atlantic and the Gulf of Mexico. Join the margarita-saturated tourists in tropical paradise and enjoy the biker-friendly atmosphere. Salt air, sea food, and slow speed get you onto island time in no time flat.
9. Route 66: 2200 miles from Chicago to Santa MonicaOn just about everybody's bucket list is Route 66. Ride all 2200 miles of this history lesson smothered in kitsch, or just grab a slice or two, like the pies you'll find in endless supply at the many biker-friendly stops between Chicago and Santa Monica.
10. The Great River Road (Hwy 61): 2,552 miles from Itasca State Park, Minnesota to Jackson, LouisianaGRR 61 is a single route created in 1938 to highlight the 10 states bordering the great Mississippi River from its headwaters in Minnesota to its termination in Louisiana's Cajun Country. Local riders from all 10 states flock to 'their"" section of the road, whether it's lined with meadows, cypress swamps, thick forests, limestone cliffs, or wildlife refuges. Industrial areas are easily avoided.
Carla King is an adventure travel writer who specializes in riding cranky indigenous motorcycles around the world. She is author of the Motorcycle Misadventures series of books and live internet dispatches from the road. Wherever she is, you can always find her at CarlaKing.com.
Originally published as ""The USA's 10 best motorcycle roads"" 2012 Lonely Planet. All rights reserved."
9,Welington Castillo: Chicago White Sox catcher banned for 80 games over failed drugs test,Unknown,BBC News,24-May-18,"Welington Castillo has become the second Major League Baseball player in just over a week to be banned for 80 games because of a positive drugs test.
The Chicago White Sox catcher, 31, was found to have taken the banned performance-enhancing substance Erythropoietin (EPO).
Dominican Castillo will be eligible to return in late August.
Seattle Mariners star Robinson Cano got the same ban last week after testing positive for the diuretic Furosemide.
""The positive test resulted from an extremely poor decision that I, and I alone, made,"" Castillo said.
""I take full responsibility for my conduct. I have let many people down, including my family, my team-mates, the White Sox organisation and its fans and from my heart I apologise.""
Castillo is in his ninth major league campaign, having joined the Chicago Cubs in 2010.
He also played for Seattle, Arizona and Baltimore before signing a two-year deal with the White Sox in December.
The White Sox are last in the American League Central division and have the second-worst record in Major League Baseball at 15-31."
9,Robinson Cano: $240m baseball star banned for 80 games for failed drugs test,Unknown,BBC News,15-May-18,"Baseball star Robinson Cano has been banned for 80 games after testing positive for the banned diuretic Furosemide.
The Seattle Mariners second baseman, one of baseball's highest paid players, has accepted the punishment, his team said.
The 35-year-old, who is halfway through a 10-year $240 million contract, said he took the drug on a visit to his native Dominican Republic.
""He made a mistake,"" the Mariners said.
Cano is an eight-time MLB All-Star with 305 career home runs and more than 2,400 hits.
He won the 2009 World Series with the New York Yankees.
""We were disappointed to learn today that Robinson had violated the terms of Major League Baseball's Joint Drug Prevention and Treatment Program,"" the Mariners said. ""Our organisation fully supports the programme.
""He has explained to us what happened, accepted the punishment and has apologised to the fans, the organisation and his teammates. We will support Robinson as he works through this challenge.""
Diuretics can be used as a masking agent to hide the presence of performance-enhancing drugs or to assist rapid weight loss.
""While I did not realise at the time that I was given a medication that was banned, I obviously now wish that I had been more careful,"" Cano said in the statement.
""I would never do anything to cheat the rules of the game that I love."""
9,Japan's baseball star Shohei Ohtani draws Babe Ruth comparisons,Haruka Tsuboi,BBC News,9-Apr-18,"The hype surrounding baseball sensation Shohei Ohtani, arguably one of Japan's most promising young athletes for generations, has been building for years.
Last week saw his first big test in the North American Major League (MLB) and he more than lived up to it.
Before he even went to the Los Angeles Angels, Ohtani had been called ""the greatest thing to happen to baseball in a century"" and a ""modern day Babe Ruth"".
The headlines coming out of the US following a game on Sunday night show that even the US media are beginning to come on board, with talk of an ""unreal"" start, an ""insane"" achievement and some conjecture that ""Shohei Ohtani is very clearly not from this planet"".
Ohtani is a rare example in baseball of a top class all-rounder. Able to both bat and pitch, he's called a two-wayer.
So what has he actually achieved? Well, it was more than Babe Ruth did in his first two weeks, that's for sure - but here are some highlights:
Ohtani is only the third player in history to get two pitching wins and three home runs in the first 10 games for his team
Pitching his second game, he forced 12 strikeouts, equalling an American League record for a pitcher in one of his first two games
He is only the third player ever to hit a home run in three consecutive games and pitch a game with more than 10 strikeouts in the same season. One of the others was Babe Ruth
Japan has the second biggest baseball league outside the US, so it is no surprise that it has produced a player of this calibre. Ohtani's family background also counts.
According to one report that tracked the nascent career of the young athlete, his father, Toru, was an avid player and encouraged his children to play catch when he'd return home from the Mitsubishi plant where he worked.
In his high school in northern Iwate prefecture, Ohtani threw the fastest pitch ever recorded by a Japanese high school pitcher, at 160 km/h (99 mph).
When Japanese horror meets baseball
He initially wanted to enter the MLB directly from high school rather play in Japan's professional league. But Hokkaido Nippon-Ham Fighters won out in the end, after lengthy negotiations.
Their final presentation to the young player was called: ""Shohei Ohtani: The Way to Dream"" and set out the plan to make him a two-wayer.
He had his fair share of record-setting in Japan, becoming in 2014 the first player to both remove 10 batters and record 10 or more home runs in a season. Nobody has broken that record.
Now the player, seen in Japan as a quiet but effective presence on the pitch, is proving his mettle on American soil.
If US sports commentators have been left rubbing their eyes in disbelief - after all Ohtani had not performed well in spring training - the Japanese public has also been euphoric.
The well-known Japanese manga artist Tsunomaru, tweeted: ""No, No Ohtani. My editor will not accept such a great story. It should be more realistic.""
Another Twitter user said ""we are witnessing a kind of myth"", while another said the ""MLB has been given a harsh lesson by Ohtani"".
The Japanese media have been no less enthusiastic, calling his first two weeks in the Major League an example of ""shockingly perfect pitching"" and noting how US media had been left stunned.
Both sides of the Pacific are watching to see if he can do more."
10,What is hockey?' Pierre-Edouard Bellemare's unlikely journey to the NHL,Perry Kostidakis,CNN News,30-Oct-18,"(CNN)""What is hockey?""
Pierre-Edouard Bellemare, at 16 years old, had to answer that question. Not existentially, but literally to the police officer in France who had stopped him.
Unaware of the sport, the officer had pulled him aside, chastised him for carrying a weapon in public and then expressed incredulity when told it was an instrument of sport.
""Our sport magazine we had when I was a kid,"" Bellemare says, ""I remember it was always one time a year, a sentence at the end, the last page, that team won the cup. That was it. So not really a popular sport.""
France, a country better known perhaps for its soccer, cycling and basketball, didn't place a high priority on hockey and the sport was foreign to Bellemare until a sudden inspiration to take it up struck his sister.
""My big sister ... somehow she wanted to start hockey. Why? I have no idea why, where she heard of it, but so my big brother and I were like, 'if she plays hockey, we want to also.'""
Financial limitations prevented the trio from truly diving into the sport at first, but a coach recognized the talent that Bellemare and his brother had and invited them back the next week to put them through training.
""We came back, and we did a bunch of drills that put us on our asses, like weird drills,"" he laughs.
""But we had a blast, and after that, the coach went to my mom and was like, 'hockey or figure skating, choose one, but they shouldn't go and play soccer.'
""For me, I was always a kid who wanted to do something different.""
A Canadian or American, he notes, might have turned their sights on the NHL, but for a fledgling player in hockey-depleted France, his main goal became the Olympics.
""I could never see the NHL [games]; there was no internet, no cable, it was purely the Olympics and you had to fight to see the games.""
Undeterred from his dream, but realistic about the prospects of playing professionally, Bellemare earned an education alongside his pursuit of a hockey career, a backup plan in case, in his words, he ""broke his leg one day.""
""When I was 21, I got my degrees, and it was a decision to make if I stay at the university or if I go to Sweden.
""It was really close that I stopped hockey to go to school because, I mean, how much can you live out of hockey? You're French right? And you hear that your entire life.
""That's when I realized hockey is a job and you work, and not just working at the rink, it's the way you eat, the way you drink.
""That's when I realized, alright, this is going to be something I'm going to do for a living.""
Since those early days of running wild on the ice with his siblings, Bellemare has achieved incredible accomplishments: getting signed by the Philadelphia Flyers after a stint in Sweden, playing in the Stanley Cup Finals as part of the Vegas Golden Knights and representing his native France at multiple World Championships.
Bellemare's unlikely hockey journey is far from complete -- another goal still awaits.
""I still haven't played in the Olympics,"" he said. ""And it's still my biggest dream technically to be able to represent my nation."""
10,Four Nations: Ireland in back-to-back Dutch defeats,Unknown,BBC News,3-Nov-18,"Ireland will finish their Four Nations campaign with a fourth place play-off against England after a heavy 5-2 defeat by the Netherlands in Valencia.
Mink van der Weerden, was once again Ireland's chief tormentor as he scored a hat-trick to send the Dutch through to Sunday's final against Spain.
Mitch Darling and Alan Sothern gave Ireland an early two-goal lead before the top seeds fought back.
Terrance Pieters and Jereon Hertzberger were the other Dutch goal scorers.
Darling's diving goal put Ireland ahead in the 13th minute and Sothern extended their lead in the opening minute of the second quarter.
Van der Weerden, who scored twice for the Dutch in their 7-1 win in the group stages, sparked the fight-back just before half time with a powerful drag flick and the penalty corner specialist scored two more in the third quarter to push his side into the lead.
Chris Cargo's final-qaurter yellow card proved costly as Pieters and Hertzberger both scored in the final three minutes while Ireland were down to 10 men.
The Netherlands will now play the tournament hosts in Sunday's final while Ireland and England will meet in a repeat of their opening match of the week."
10,Four Nations: Ireland earn 4-3 shootout win over England to finish third,Unknown,BBC News,4-Nov-18,"Ireland finished third in the Four Nations with a 4-3 penalty shootout victory over England in Valencia.
Irish goalkeeper David Fitzgerald made two saves in the shootout as Eugene Magee, Alan Sothern, Shane O'Donoghue and Daragh Walsh scored from the spot.
The match finished 2-2 with England twice taking the lead through Zachary Wallace and Luke Taylor, with Magee and Sean Murray hitting the equalisers.
Alexander Cox's side had lost 5-2 to the Netherlands on Saturday.
With little to separate the sides in the first half, the best chance fell to England's James Gall, who took advantage of Conor Harte slipping but his shot was forced wide.
The game came to life with two goals inside the first six minutes of the second half, with Wallace notching at the back post from a Barry Middleton cross.
But Ireland were soon back on level terms when Magee's shot deflected in after a superb pass from Michael Robson.
England took the lead against the run of play in the 49th minute from a penalty corner drag by Luke Taylor, though there was a question mark over whether the ball had left the circle on the push out.
Murray equalised again for Ireland in the 56th minute with a close-range shot following a great run and pass by Shane O'Donoghue.
A last-gasp penalty corner drag from O'Donoghue was well saved from George Pinner to keep the score at 2-2 and send the game into a shootout.
Martin, Zachary Wallace and Adam Dixon were on target for England while Magee, Sothern, O'Donoghue converted for Ireland, but it was Daragh Walsh who netted the winning penalty."
15,Lent Fast Facts,Unknown,CNN News,12-Nov-18,"(CNN)Here's a look at Lent, a season of prayer and penance in the Christian church and a period of preparation for the Easter season.
Facts:
March 6-April 18, 2019 - Lent (Western church)
Ash Wednesday marks the first day of Lent in Western churches.
The word Lent comes from the word Old English word lencten, meaning spring.
In the Western church, Lent begins on Ash Wednesday, six and a half weeks before Easter, and ends on Holy Saturday.
In the Eastern church, Lent begins on the Monday of the seventh week before Easter and ends on the Friday before Palm Sunday.
Fasting and prayer are done in remembrance and reflection of Jesus Christ's fasting in the wilderness.
Lent lasts 40 days. Sundays are not counted.
The observance of Lent dates back to the 4th century.
5th-9th centuries - Strict fasting during Lent is customary. Meat and fish are forbidden, but one meal a day is allowed.
Fasting still continues but is less strict now in the Western churches.
Many people give up something during Lent, such as TV or other pleasurable activities.
Engaging in acts of charity is another custom during Lent."
15,How the religious makeup of the electorate changed in 2018,Hunter Schwarz,CNN News,8-Nov-18,"Washington (CNN)The percentage of Christian voters who cast ballots this year was down compared to other recent midterms, while the percentage of voters who identify as religiously unaffiliated was up.
This year's election was the first midterm in more than a decade that Christians other than Catholics -- Protestants and ""other Christians"" -- made up less than half of all voters, according to exit poll data analyzed by Pew.
In 2006, 55% of Americans who voted in US House races were Protestant or other Christian. This year, that figure has fallen to 47%. Another 26% identified as Catholic.
In the same time period, the percentage of religiously unaffiliated voters -- voters who identify as atheist, agnostic, or as not having a religion -- has risen from 11% to 17%.
This trend mirrors the rise of religiously unaffiliated in the country. The number of Americans who identified as not having a religion rose to 55.8 million in 2015, an increase of more than 19 million in eight years, Pew data found. It also has an effect at the ballot box.
Protestants and other Christians have voted Republican in midterms more than other religious groups over the past 12 years, Pew's survey shows, and that trend continued in 2018. According to CNN's exit poll, 56% of Protestants and other Christians voted Republican in House races. Among the other religious groups polled -- Catholic, Jewish, other and no religion -- at least half voted for Democrats. The 2018 exit poll found 42% of Protestants and other Christians voted for Democrats.
Voters with ""no religion"" voted 70% for Democrats and 28% for Republicans.
Both Democrats and Republicans have been their percentage of religiously unaffiliated party members rise over the years, but Democrats have seen a larger increase, according to Pew. They made up 13% of Republicans and Republican leaners in 2017, compared to 33% of Democrats and Democratic leaners.
About 70% of Americans identify as Christian, including Catholics, Protestants, and members of the Church of Jesus Christ of Latter-day Saints, also known as Mormon. The largest Christian group in the US is evangelicals, who made up about 25% of the population."
15,Christian camp leader John Smyth suspected of abuse dies,Unknown,BBC News,12-Aug-18,"A leading barrister suspected of physically abusing boys who attended Christian summer camps has died.
John Smyth QC, 77, had been wanted for questioning over abuse claims concerning boys at Winchester College during the 1970s and 1980s.
In a statement his family told BBC News the cause of death appeared to be a sudden heart attack following a heart procedure last week.
They asked to be ""left alone"" to grieve in private.
Mr Smyth was previously a senior member of Christian charity the Iwerne Trust and died at his home in Cape Town, South Africa on Saturday.
Victim advocate, Andrew Graystone, said Hampshire police informed victims the CPS had asked them to summon Mr Smyth back to the UK for formal questioning with a view to possible charges last week.
The CPS said it was ""not in a position to comment at this time"".
Mr Smyth also previously worked as a barrister representing the moralising campaigner Mary Whitehouse and ran camps in Dorset for young evangelical Christians during the 1970s and 1980s.
He and his wife Anne were excommunicated by Church-on-Main, in Cape Town last year.
Officials said he had been ""evasive, combative, non-compliant and generally unwilling to work with us"" when the abuse allegations surfaced.
Reports of his alleged physical abuse of 22 boys were revealed in an investigation by Channel 4 News in February 2017.
The investigation came after a report by the Iwerne Trust from 1982, which was not made public until 2016.
It found Mr Smyth identified pupils from leading public schools like Winchester College and took them to his home near Winchester in Hampshire, where he carried out lashings with a garden cane in his shed.
It said eight of the boys received a total of 14,000 lashes, while two more received 8,000 strokes between them over three years.
The Iwerne Trust called the practice ""horrific"" but the claims were not reported to police until 2013 - more than 30 years later.
'No justice'
Mr Smyth refused to comment on the allegations, which were reported to have happened while Archbishop of Canterbury, Justin Welby, worked at some of the camps as a young man in the 1970s.
He said he knew nothing of the abuse until it was reported to police.
The Bishop of Guildford, Andrew Watson, has also said he was abused by Mr Smyth.
Mr Graystone said a number of alleged victims expressed their sympathy for his family in their loss.
He added: ""They are, however, angry that the police and the Church of England have failed to respond to their disclosures for the past six years. As a direct result they will see no justice, and more importantly they will not get answers to their crucial questions about why this was allowed to happen.""
A spokeswoman for Hampshire Constabulary said: ""We are in the process of speaking with the victims of the non-recent abuse allegations, to update them on the news that we have heard around the suspect's death.
""Until those conversations have taken place, and until we have spoken with the CPS and the suspect's solicitor, it would be inappropriate for us to comment further."""
